,movie_id,title,genres
0,2,Jumanji (1995),Adventure|Children's|Fantasy
1,3,Grumpier Old Men (1995),Comedy|Romance
2,4,Waiting to Exhale (1995),Comedy|Drama
3,5,Father of the Bride Part II (1995),Comedy
4,6,Heat (1995),Action|Crime|Thriller
5,7,Sabrina (1995),Comedy|Romance
6,8,Tom and Huck (1995),Adventure|Children's
7,9,Sudden Death (1995),Action
8,10,GoldenEye (1995),Action|Adventure|Thriller
9,11,"American President, The (1995)",Comedy|Drama|Romance
10,12,Dracula: Dead and Loving It (1995),Comedy|Horror
11,13,Balto (1995),Animation|Children's
12,14,Nixon (1995),Drama
13,15,Cutthroat Island (1995),Action|Adventure|Romance
14,16,Casino (1995),Drama|Thriller
15,17,Sense and Sensibility (1995),Drama|Romance
16,18,Four Rooms (1995),Thriller
17,19,Ace Ventura: When Nature Calls (1995),Comedy
18,20,Money Train (1995),Action
19,21,Get Shorty (1995),Action|Comedy|Drama
20,22,Copycat (1995),Crime|Drama|Thriller
21,23,Assassins (1995),Thriller
22,24,Powder (1995),Drama|Sci-Fi
23,25,Leaving Las Vegas (1995),Drama|Romance
24,26,Othello (1995),Drama
25,27,Now and Then (1995),Drama
26,28,Persuasion (1995),Romance
27,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi
28,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
29,31,Dangerous Minds (1995),Drama
30,32,Twelve Monkeys (1995),Drama|Sci-Fi
31,33,Wings of Courage (1995),Adventure|Romance
32,34,Babe (1995),Children's|Comedy|Drama
33,35,Carrington (1995),Drama|Romance
34,36,Dead Man Walking (1995),Drama
35,37,Across the Sea of Time (1995),Documentary
36,38,It Takes Two (1995),Comedy
37,39,Clueless (1995),Comedy|Romance
38,40,"Cry, the Beloved Country (1995)",Drama
39,41,Richard III (1995),Drama|War
40,42,Dead Presidents (1995),Action|Crime|Drama
41,43,Restoration (1995),Drama
42,44,Mortal Kombat (1995),Action|Adventure
43,45,To Die For (1995),Comedy|Drama
44,46,How to Make an American Quilt (1995),Drama|Romance
45,47,Seven (Se7en) (1995),Crime|Thriller
46,48,Pocahontas (1995),Animation|Children's|Musical|Romance
47,49,When Night Is Falling (1995),Drama|Romance
48,50,"Usual Suspects, The (1995)",Crime|Thriller
49,51,Guardian Angel (1994),Action|Drama|Thriller
50,52,Mighty Aphrodite (1995),Comedy
51,53,Lamerica (1994),Drama
52,54,"Big Green, The (1995)",Children's|Comedy
53,55,Georgia (1995),Drama
54,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy
55,57,Home for the Holidays (1995),Drama
56,58,"Postino, Il (The Postman) (1994)",Drama|Romance
57,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
58,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
59,61,Eye for an Eye (1996),Drama|Thriller
60,62,Mr. Holland's Opus (1995),Drama
61,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
62,64,Two if by Sea (1996),Comedy|Romance
63,65,Bio-Dome (1996),Comedy
64,66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller
65,67,Two Bits (1995),Drama
66,68,French Twist (Gazon maudit) (1995),Comedy|Romance
67,69,Friday (1995),Comedy
