,movie_id,rating,timestamp,user_id,id,gender,age,occupation,zipcode
719949,,,,,2,M,56,self-employed,70072
719950,,,,,3,M,25,scientist,55117
719951,,,,,4,M,45,executive/managerial,02460
719952,,,,,5,M,25,writer,55455
719953,,,,,6,F,50,homemaker,55117
719954,,,,,7,M,35,academic/educator,06810
719955,,,,,8,M,25,programmer,11413
719956,,,,,9,M,25,technician/engineer,61614
719957,,,,,10,F,35,academic/educator,95370
719958,,,,,11,F,25,academic/educator,04093
719959,,,,,12,M,25,programmer,32793
719960,,,,,13,M,45,academic/educator,93304
719961,,,,,14,M,35,other,60126
719962,,,,,15,M,25,executive/managerial,22903
719963,,,,,16,F,35,other,20670
719964,,,,,17,M,50,academic/educator,95350
719965,,,,,18,F,18,clerical/admin,95825
719966,,,,,19,M,1,K-12 student,48073
719967,,,,,20,M,25,sales/marketing,55113
719968,,,,,21,M,18,self-employed,99353
719969,,,,,22,M,18,scientist,53706
719970,,,,,23,M,35,other,90049
719971,,,,,24,F,25,executive/managerial,10023
719972,,,,,25,M,18,college/grad student,01609
719973,,,,,26,M,25,executive/managerial,23112
719974,,,,,27,M,25,lawyer,19130
719975,,,,,28,F,25,academic/educator,14607
719976,,,,,29,M,35,executive/managerial,33407
719977,,,,,30,F,35,executive/managerial,19143
719978,,,,,31,M,56,executive/managerial,06840
719979,,,,,32,F,25,other,19355
719980,,,,,33,M,45,clerical/admin,55421
719981,,,,,34,F,18,other,02135
719982,,,,,35,M,45,academic/educator,02482
719983,,,,,36,M,25,clerical/admin,94123
719984,,,,,37,F,25,homemaker,66212
719985,,,,,38,F,18,college/grad student,02215
719986,,,,,39,M,18,college/grad student,61820
719987,,,,,40,M,45,other,10543
719988,,,,,41,F,18,college/grad student,15116
719989,,,,,42,M,25,farmer,24502
719990,,,,,43,M,25,programmer,60614
719991,,,,,44,M,45,technician/engineer,98052
719992,,,,,45,F,45,self-employed,94110
719993,,,,,46,M,18,unemployed,75602
719994,,,,,47,M,18,college/grad student,94305
719995,,,,,48,M,25,college/grad student,92107
719996,,,,,49,M,18,programmer,77084
719997,,,,,50,F,25,artist,98133
719998,,,,,51,F,1,K-12 student,10562
719999,,,,,52,M,18,college/grad student,72212
720000,,,,,53,M,25,other,96931
720001,,,,,54,M,50,academic/educator,56723
720002,,,,,55,F,35,programmer,55303
720003,,,,,56,M,35,writer,60440
720004,,,,,57,M,18,unemployed,30350
720005,,,,,58,M,25,artist,30303
720006,,,,,59,F,50,academic/educator,55413
720007,,,,,60,M,50,academic/educator,72118
720008,,,,,61,M,25,technician/engineer,95122
720009,,,,,62,F,35,clerical/admin,98105
720010,,,,,63,M,18,college/grad student,54902
720011,,,,,64,M,18,academic/educator,53706
720012,,,,,65,M,35,programmer,55803
720013,,,,,66,M,25,tradesman/craftsman,57706
720014,,,,,67,F,50,customer service,60181
720015,,,,,68,M,18,college/grad student,53706
720016,,,,,69,F,25,academic/educator,02143
720017,,,,,70,M,18,college/grad student,53703
720018,,,,,71,M,25,sales/marketing,95008
720019,,,,,72,F,45,other,55122
720020,,,,,73,M,18,college/grad student,53706
720021,,,,,74,M,35,sales/marketing,94530
720022,,,,,75,F,1,K-12 student,01748
720023,,,,,76,M,35,executive/managerial,55413
720024,,,,,77,M,18,college/grad student,15321
720025,,,,,78,F,45,academic/educator,98029
720026,,,,,79,F,45,other,98103
720027,,,,,80,M,56,academic/educator,49327
720028,,,,,81,F,25,other,60640
720029,,,,,82,M,25,technician/engineer,48380
720030,,,,,83,F,25,artist,94609
720031,,,,,84,M,18,college/grad student,53140
720032,,,,,85,M,18,college/grad student,94945
720033,,,,,86,F,1,K-12 student,54467
720034,,,,,87,M,25,sales/marketing,48360
720035,,,,,88,F,45,academic/educator,02476
720036,,,,,89,F,56,homemaker,85749
720037,,,,,90,M,56,retired,85749
720038,,,,,91,M,35,executive/managerial,07650
720039,,,,,92,F,18,college/grad student,44243
720040,,,,,93,M,25,technician/engineer,95825
720041,,,,,94,M,25,technician/engineer,28601
720042,,,,,95,M,45,other,98201
720043,,,,,96,F,25,self-employed,78028
720044,,,,,97,F,35,clerical/admin,66210
720045,,,,,98,F,35,executive/managerial,33547
720046,,,,,99,F,1,K-12 student,19390
720047,,,,,100,M,35,technician/engineer,95401
720048,,,,,101,F,18,clerical/admin,33314
720049,,,,,102,M,35,unemployed,20871
720050,,,,,103,M,45,executive/managerial,92104
720051,,,,,104,M,25,programmer,00926
720052,,,,,105,M,45,programmer,90277
720053,,,,,106,F,35,lawyer,79101
720054,,,,,107,M,45,tradesman/craftsman,63129
720055,,,,,108,M,25,programmer,30316
720056,,,,,109,M,45,scientist,92028
720057,,,,,110,M,25,artist,90803
720058,,,,,111,M,35,scientist,55416
720059,,,,,112,M,25,self-employed,97209
720060,,,,,113,M,18,programmer,37032
720061,,,,,114,F,25,artist,83712
720062,,,,,115,M,25,technician/engineer,28083
720063,,,,,116,M,25,technician/engineer,55744
720064,,,,,117,M,25,technician/engineer,33314
720065,,,,,118,M,35,technician/engineer,22315
720066,,,,,119,F,1,K-12 student,77515
720067,,,,,120,M,25,lawyer,27106
720068,,,,,121,M,35,executive/managerial,75229
720069,,,,,122,F,18,college/grad student,94305
720070,,,,,123,M,35,homemaker,67208
720071,,,,,124,M,56,executive/managerial,91356
720072,,,,,125,M,45,sales/marketing,01701
720073,,,,,126,M,18,homemaker,98117
720074,,,,,127,F,45,clerical/admin,01770
720075,,,,,128,M,56,doctor/health care,37922
720076,,,,,129,M,25,lawyer,20164
720077,,,,,130,M,35,technician/engineer,50021
720078,,,,,131,M,18,college/grad student,06520
720079,,,,,132,M,25,technician/engineer,99709
720080,,,,,133,F,25,other,55071
720081,,,,,134,M,25,other,66212
720082,,,,,135,M,18,college/grad student,20006
720083,,,,,136,M,18,artist,21202
720084,,,,,137,F,45,doctor/health care,78758
720085,,,,,138,M,18,writer,22203
720086,,,,,139,F,25,writer,45409
720087,,,,,140,F,35,academic/educator,55107
720088,,,,,141,M,35,retired,62035
720089,,,,,142,M,25,executive/managerial,10011
720090,,,,,143,M,18,clerical/admin,64043
720091,,,,,144,M,25,technician/engineer,29401
720092,,,,,145,M,18,college/grad student,19081
720093,,,,,146,F,35,writer,10954
720094,,,,,147,M,18,college/grad student,91360
720095,,,,,148,M,50,technician/engineer,57747
720096,,,,,149,M,25,academic/educator,29205
720097,,,,,150,M,35,executive/managerial,98144
720098,,,,,151,F,25,writer,85013
720099,,,,,152,M,18,college/grad student,48104
720100,,,,,153,M,1,K-12 student,51537
720101,,,,,154,M,50,writer,94530
720102,,,,,155,M,35,programmer,07470
720103,,,,,156,F,45,executive/managerial,14519
720104,,,,,157,M,35,self-employed,12866
720105,,,,,158,M,56,executive/managerial,28754
720106,,,,,159,F,45,other,37922
720107,,,,,160,M,35,executive/managerial,13021
720108,,,,,161,M,45,self-employed,98107-2117
720109,,,,,162,F,18,college/grad student,93117
720110,,,,,163,M,18,college/grad student,85013
720111,,,,,164,F,56,retired,94566
720112,,,,,165,M,18,self-employed,98502
720113,,,,,166,M,18,college/grad student,92802
720114,,,,,167,F,25,lawyer,10022
720115,,,,,168,F,50,other,46970
720116,,,,,169,M,25,executive/managerial,55439
720117,,,,,170,M,25,lawyer,07002
720118,,,,,171,F,50,technician/engineer,55441
720119,,,,,172,M,25,clerical/admin,07661
720120,,,,,173,M,25,other,45237
720121,,,,,174,M,25,self-employed,21203
720122,,,,,175,F,25,artist,95123
720123,,,,,176,F,18,clerical/admin,55016
720124,,,,,177,M,50,academic/educator,54016
720125,,,,,178,M,56,technician/engineer,53705
720126,,,,,179,M,25,other,02135
720127,,,,,180,M,45,programmer,01603
720128,,,,,181,M,18,technician/engineer,33186
720129,,,,,182,M,18,college/grad student,03052
720130,,,,,183,F,45,academic/educator,55407
720131,,,,,184,F,25,other,19001
720132,,,,,185,M,45,other,14468
720133,,,,,186,M,18,customer service,91767
720134,,,,,187,F,45,academic/educator,94061
720135,,,,,188,M,56,self-employed,79930
720136,,,,,189,M,18,other,60076
720137,,,,,190,M,25,technician/engineer,55125
720138,,,,,191,M,18,college/grad student,04915
720139,,,,,192,M,18,academic/educator,10977
720140,,,,,193,F,45,scientist,44106
720141,,,,,194,F,1,K-12 student,29146
720142,,,,,195,M,25,programmer,10458
